,Unnamed: 0,user id,test group,converted,total ads,most ads day,most ads hour
0,0,1069124,ad,False,130,Monday,20
1,1,1119715,ad,False,93,Tuesday,22
2,2,1144181,ad,False,21,Tuesday,18
3,3,1435133,ad,False,355,Tuesday,10
4,4,1015700,ad,False,276,Friday,14
5,5,1137664,ad,False,734,Saturday,10
6,6,1116205,ad,False,264,Wednesday,13
7,7,1496843,ad,False,17,Sunday,18
8,8,1448851,ad,False,21,Tuesday,19
9,9,1446284,ad,False,142,Monday,14
10,10,1257223,ad,False,209,Wednesday,11
11,11,1637531,ad,False,47,Wednesday,13
12,12,1081965,ad,False,61,Tuesday,20
13,13,1037215,ad,False,40,Friday,13
14,14,1535652,ad,False,20,Tuesday,19
15,15,1461774,ad,True,9,Wednesday,18
16,16,1492276,ad,False,64,Tuesday,12
17,17,1118924,ad,False,26,Wednesday,11
18,18,900681,psa,False,248,Saturday,19
19,19,1053783,ad,False,73,Friday,19
20,20,1381767,ad,False,281,Wednesday,11
21,21,1478526,ad,False,389,Saturday,19
22,22,1436823,ad,False,136,Sunday,16
23,23,1274572,ad,False,47,Saturday,21
24,24,1441220,ad,False,264,Saturday,3
25,25,1025687,ad,False,87,Tuesday,23
26,26,1451900,ad,False,46,Tuesday,20
27,27,1098821,ad,False,3,Tuesday,19
28,28,1333281,ad,False,114,Monday,23
29,29,1238323,ad,False,175,Thursday,21
30,30,1034350,ad,False,87,Tuesday,19
31,31,1175118,ad,False,119,Tuesday,4
32,32,1325185,ad,False,313,Saturday,19
33,33,1651459,ad,False,89,Monday,19
34,34,1196281,ad,False,364,Wednesday,10
35,35,1459497,ad,False,24,Thursday,16
36,36,1482561,ad,False,112,Friday,22
37,37,1067720,ad,False,49,Tuesday,19
38,38,905704,psa,False,27,Thursday,8
39,39,1486907,ad,False,274,Wednesday,21
40,40,1011246,ad,False,45,Wednesday,13
41,41,1521269,ad,False,177,Sunday,16
42,42,1580543,ad,False,46,Thursday,21
43,43,1320295,ad,False,90,Saturday,19
44,44,1355531,ad,True,265,Tuesday,12
45,45,1076583,ad,False,119,Wednesday,10
46,46,1086831,ad,False,71,Wednesday,0
47,47,1646896,ad,False,31,Thursday,12
48,48,1381174,ad,False,588,Saturday,20
49,49,1107193,ad,False,56,Thursday,10
50,50,1301170,ad,False,108,Sunday,19
51,51,1317684,ad,False,45,Sunday,11
52,52,1449190,ad,False,103,Monday,19
53,53,1000837,ad,False,239,Saturday,12
54,54,1194204,ad,False,73,Wednesday,14
55,55,1124531,ad,False,63,Wednesday,19
56,56,1056827,ad,False,66,Saturday,14
57,57,1077196,ad,False,111,Friday,14
58,58,1402121,ad,False,74,Thursday,14
59,59,1190893,ad,False,14,Sunday,20
60,60,1608119,ad,False,258,Friday,2
61,61,1447573,ad,False,103,Wednesday,11
62,62,1626063,ad,False,9,Tuesday,19
63,63,1565118,ad,False,3,Tuesday,19
64,64,1261130,ad,False,1057,Thursday,20
65,65,1651365,ad,False,137,Sunday,15
66,66,1004917,ad,False,131,Thursday,18
67,67,1275159,ad,False,124,Friday,13
68,68,904595,psa,False,13,Tuesday,19
69,69,1485052,ad,False,24,Tuesday,19
70,70,1018316,ad,False,37,Sunday,13
71,71,1455516,ad,False,131,Saturday,21
72,72,1474691,ad,False,738,Wednesday,4
73,73,1452008,ad,False,24,Tuesday,19
74,74,1595920,ad,False,199,Saturday,19
75,75,1581977,ad,False,211,Saturday,15
76,76,1589863,ad,False,98,Friday,19
77,77,1097687,ad,False,19,Tuesday,19
78,78,1317758,ad,False,19,Wednesday,19
79,79,1374531,ad,False,127,Friday,13
80,80,1556695,ad,False,18,Tuesday,19
81,81,1031558,ad,False,126,Tuesday,11
82,82,1388707,ad,False,197,Sunday,11
83,83,1243365,ad,False,77,Friday,19
84,84,1021129,ad,False,73,Wednesday,1
85,85,1035024,ad,False,60,Wednesday,13
86,86,1283389,ad,False,95,Friday,15
87,87,1134874,ad,False,137,Tuesday,8
88,88,1239097,ad,False,97,Tuesday,21
89,89,1214946,ad,False,22,Tuesday,19
90,90,1474276,ad,False,117,Tuesday,14
91,91,1176592,ad,False,71,Tuesday,22
92,92,1650819,ad,False,41,Tuesday,23
93,93,1025362,ad,False,57,Wednesday,12
94,94,1447938,ad,False,593,Friday,15
95,95,1383606,ad,False,97,Tuesday,22
96,96,1004431,ad,False,111,Friday,11
97,97,1311611,ad,False,31,Tuesday,19
98,98,1426144,ad,False,28,Tuesday,20
99,99,1550138,ad,False,9,Tuesday,19
100,100,1142414,ad,False,85,Saturday,2
101,101,1437991,ad,False,13,Monday,6
